SessionId,ItemId,Time
1,214536502,1396864269.2770002
1,214536500,1396864449.8679998
1,214536506,1396864486.998
1,214577561,1396864620.306
2,214662742,1396875397.6139998
2,214662742,1396875439.373
2,214825110,1396875517.446
2,214757390,1396875590.71
2,214757407,1396875638.2470002
2,214551617,1396875756.889
3,214716935,1396441066.94
3,214774687,1396441562.515
3,214832672,1396441812.3179998
4,214836765,1396868950.948
4,214706482,1396869985.4160001
6,214701242,1396799900.8479998
6,214826623,1396800146.976
7,214826835,1396417133.1039999
7,214826715,1396417145.8539999
8,214838855,1396770598.728
8,214838855,1396770732.647
9,214576500,1396779984.127
9,214576500,1396780134.654
9,214576500,1396780153.4789999
11,214821275,1396518275.6720002
11,214821275,1396518301.674
11,214821371,1396518329.873
11,214821371,1396518372.1620002
11,214821371,1396518417.355
11,214717089,1396518802.572
11,214563337,1396518829.875
11,214706462,1396518919.2670002
11,214717436,1396518947.3270001
11,214743335,1396518990.52
11,214826837,1396519039.331
11,214819762,1396519059.4329998
12,214717867,1396431013.176
12,214717867,1396431192.621
13,214836761,1396792213.6379998
13,214684513,1396792374.363
13,214836761,1396792398.268
14,214577732,1396343341.3620002
14,214587013,1396343474.7729998
14,214577732,1396343556.482
17,214826897,1396780454.289
17,214820441,1396780456.1929998
16,214684093,1396699681.6260002
16,214684093,1396699719.897
16,214684093,1396700453.092
19,214561790,1396381932.357
19,214561790,1396381933.758
19,214611457,1396382093.606
19,214611457,1396382094.651
18,214577732,1396326372.539
18,214577732,1396326392.1560001
21,214838503,1396857688.552
21,214838503,1396857819.9029999
21,214838503,1396857840.5979998
21,214838503,1396857969.115
21,214838503,1396858062.2120001
21,214548744,1396858870.012
23,214718203,1396593798.5979998
23,214718203,1396594144.6339998
23,214718203,1396594146.3760002
23,214718203,1396594608.356
22,214837485,1396744145.9689999
22,214837485,1396744236.821
22,214837485,1396744260.419
22,214837487,1396744311.4429998
22,214837487,1396744338.33
22,214821315,1396744518.266
22,214586711,1396744532.915
22,214821305,1396744592.105
22,214821307,1396744608.1720002
22,214844357,1396744628.2020001
22,214821341,1396744639.052
22,214821309,1396744650.7
22,214551617,1396744693.2589998
22,214551617,1396744898.0279999
22,214612920,1396745116.708
22,214837487,1396745271.889
24,214613743,1396734507.2329998
24,214613743,1396734508.756
24,214539110,1396734545.756
24,214539110,1396734546.7220001
27,214827028,1396852812.65
27,214827017,1396852873.815
27,214537796,1396853201.444
27,214840762,1396853403.502
27,214707930,1396853622.034
27,214707930,1396853698.054
27,214585652,1396853767.512
27,214536197,1396853907.5679998
27,214536195,1396853944.113
27,214646169,1396854111.3270001
26,214579288,1396798975.7410002
26,214714790,1396799098.482
26,214676070,1396799111.3439999
26,214601407,1396799179.569
29,214532036,1396456927.324
29,214700432,1396457244.821
28,214836789,1396707935.032
28,214836789,1396708031.668
28,214710804,1396708199.565
31,214537967,1396337764.1460001
31,214537967,1396337897.758
34,214718246,1396877397.726
34,214826835,1396877602.86
32,214835257,1396881912.3079998
32,214835265,1396882078.1629999
33,214834865,1396804390.756
33,214571188,1396804427.1620002
33,214571188,1396804429.3979998
33,214571188,1396804429.925
33,214820225,1396804525.464
33,214820225,1396804525.792
33,214820225,1396804526.502
33,214820225,1396804555.3660002
33,214820225,1396804559.004
33,214820225,1396804559.5310001
33,214820225,1396804599.6820002
33,214820225,1396804613.065
33,214706441,1396804653.199
33,214706441,1396804670.144
33,214706441,1396804671.419
33,214706441,1396804672.049
38,214652878,1396584969.704
38,214716737,1396585015.1629999
38,214652878,1396585054.4629998
39,214684721,1396383660.46
39,214680356,1396383704.551
36,214551594,1396810818.669
36,214586970,1396810890.08
37,214826769,1396625167.8820002
37,214537967,1396625203.356
42,214819745,1396799369.034
42,214819745,1396799472.544
43,214691587,1396680850.194
43,214587915,1396680958.8860002
41,214821277,1396769678.9020002
41,214821277,1396769680.2470002
41,214821277,1396769698.28
41,214821277,1396769800.343
41,214821277,1396769801.495
46,214716932,1396501618.17
46,214716932,1396501639.921
46,214716932,1396501690.956
46,214716932,1396505174.731
46,214716932,1396505189.704
46,214716932,1396505204.157
47,214712235,1396447637.566
47,214581489,1396447657.654
47,214602605,1396447687.492
44,214820441,1396846290.8879998
44,214826897,1396846344.351
44,214826702,1396846427.689
44,214684513,1396846489.2120001
44,214838100,1396846562.52
44,214544357,1396846874.185
44,214551626,1396846955.049
44,214691484,1396847079.7570002
51,214545935,1396371931.7910001
51,214819438,1396372004.207
51,214839907,1396372050.8960001
51,214835917,1396372138.8860002
51,214836210,1396372180.735
49,214698491,1396547071.7289999
49,214523692,1396547316.859
48,214695307,1396350728.08
48,214695305,1396350765.019
48,214538317,1396350778.585
48,214677448,1396351010.572
54,214819468,1396333987.1729999
54,214716977,1396334428.688
54,214716977,1396334506.6829998
54,214716977,1396334514.2389998
54,214716977,1396334536.7089999
54,214716939,1396334596.726
53,214544355,1396445276.2570002
53,214601212,1396445369.715
53,214601212,1396445453.2020001
53,214601212,1396445497.504
52,214716982,1396462153.2729998
52,214716984,1396463327.335
59,214844248,1396812160.046
59,214844248,1396812161.522
58,214515834,1396432043.796
58,214515830,1396432109.6379998
57,214717318,1396381855.024
57,214717318,1396382154.8170002
56,214832557,1396539103.555
56,214559660,1396539199.319
56,214559660,1396539375.1320002
56,214819520,1396539376.62
56,214586540,1396539480.495
63,214587797,1396696865.1720002
63,214835775,1396696865.2120001
63,214844109,1396696866.67
62,214714794,1396795354.6179998
62,214601407,1396795380.299
62,214826619,1396795491.971
62,214746427,1396795544.613
62,214821300,1396795549.4620001
62,214717562,1396795587.323
62,214826927,1396795607.147
62,214748334,1396795634.526
62,214826908,1396795716.052
62,214800262,1396795736.201
61,214709645,1396418413.748
61,214709645,1396418417.2089999
61,214709645,1396418486.3439999
61,214709645,1396418522.15
61,214709645,1396418525.171
68,214532072,1396422489.4910002
68,214532070,1396422501.022
69,214827022,1396862919.441
69,214840419,1396862972.0579998
71,214716984,1396523758.157
71,214832657,1396523824.891
64,214662975,1396464643.6829998
64,214537779,1396464764.7429998
64,214840762,1396464843.319
66,214821277,1396767504.215
66,214821277,1396767552.2270002
66,214821277,1396767588.488
67,214748300,1396762748.863
67,214748293,1396762834.218
76,214826955,1396788732.3479998
76,214826606,1396788766.032
76,214687642,1396788871.004
77,214832559,1396459834.579
77,214832559,1396459860.216
77,214832559,1396459983.555
77,214821017,1396460066.4989998
77,214821017,1396460096.444
77,214572234,1396460176.2470002
77,214826715,1396460375.2270002
77,214826715,1396460393.9720001
78,214509135,1396618080.684
78,214536853,1396618205.23
78,214509133,1396618244.9629998
78,214509135,1396618289.66
78,214509135,1396618323.15
78,214509135,1396618519.399
78,214717877,1396618798.61
78,214826615,1396618831.139
78,214716982,1396619507.704
79,214819472,1396345530.931
79,214687685,1396345681.155
72,214821285,1396449263.3339999
72,214821285,1396449265.0
72,214826801,1396449277.701
72,214826801,1396449279.033
73,214826705,1396528546.1729999
73,214826705,1396528618.5379999
